text,text_cleaned,text_removal,text_normalized,text_manual_replaced,text_without_stopword,label
puas-puasin main dulu sebelum aturan ppkm diadain lagi filing gw omicron gk bakal lama menyebar luas,puas puasin main dulu sebelum aturan ppkm diadain lagi filing gw omicron gk bakal lama menyebar luas,puas puasin main atur ppkm diadain filing gw omicron gk sebar luas,puas puasin main atur ppkm diadain filing gue omicron enggak sebar luas,puas puasin main atur ppkm diadain filing aku omicron enggak sebar luas,puas puasin main atur ppkm diadain filing aku omicron tidak sebar luas,1
Mayoritas masyarakat merasa sudah vaksin tidak akan berakibat buruk pada keluarga sendiri jika terkena omicron. Mesti nunggu sampai kejadian antrian tabung oksigen di Jakarta kemarin baru sadar diri. Apa yg harus kita perbuat???,mayoritas masyarakat merasa sudah vaksin tidak akan berakibat buruk pada keluarga sendiri jika terkena omicron mesti nunggu sampai kejadian antrian tabung oksigen di jakarta kemarin baru sadar diri apa yg harus kita perbuat,mayoritas masyarakat vaksin akibat buruk keluarga omicron mesti nunggu antri tabung oksigen jakarta kemarin sadar yg,mayoritas masyarakat vaksin akibat buruk keluarga omicron mesti menunggu antri tabung oksigen jakarta kemarin sadar yang,mayoritas masyarakat vaksin akibat buruk keluarga omicron mesti menunggu antri tabung oksigen jakarta kemarin sadar yang,mayoritas masyarakat vaksin akibat buruk keluarga omicron mesti tunggu antri tabung oksigen jakarta kemarin sadar yang,1
Pernah ku mencintaimu tapi tak omicron...,pernah ku mencintaimu tapi tak omicron,ku cinta omicron,ku cinta omicron,ku cinta omicron,ku cinta omicron,1
orang2 macam gini yang berlibur efekenya banyak orang yg susah keimbas PPKM naiknya tingkat penyebaran omicron.... *misuh,orang macam gini yang berlibur efekenya banyak orang yg susah keimbas ppkm naiknya tingkat penyebaran omicron misuh,gin libur efekenya yg susah imbas ppkm tingkat sebar omicron misuh,gin libur efekenya yang susah imbas ppkm tingkat sebar omicron misuh,gini libur efekenya yang susah imbas ppkm tingkat sebar omicron misuh,begini libur efekenya yang susah imbas ppkm tingkat sebar omicron misuh,0
Padahal lebih dihargain kalau bisa bawa pulang erdogan yaa ketimbang omicron.,padahal lebih dihargain kalau bisa bawa pulang erdogan yaa ketimbang omicron,dihargain bawa pulang erdogan yaa ketimbang omicron,dihargai bawa pulang erdogan ya ketimbang omicron,dihargai bawa pulang erdogan iya ketimbang omicron,harga bawa pulang erdogan iya ketimbang omicron,1
Psri abs ni ada konten yt ttg dia terkena Omicron Hikil cepet sehat y,psri abs ni ada konten yt ttg dia terkena omicron hikil cepet sehat y,psri abs ni konten yt ttg omicron hikil cepet sehat,psri habis nih konten yt tentang omicron hikil cepat sehat,psri habis nih konten yt tentang omicron hikil cepat sehat,psri habis ini konten yt tentang omicron hikil cepat sehat,1
"keren sekali, biar negaranya gk ketinggalan sm negara lain yg udah punya omicron",keren sekali biar negaranya gk ketinggalan sm negara lain yg udah punya omicron,keren biar negara gk tinggal sm negara yg udah omicron,keren biar negara enggak tinggal sama negara yang sudah omicron,keren biar negara enggak tinggal sama negara yang sudah omicron,keren biar negara tidak tinggal sama negara yang sudah omicron,0
Gk ada yg takut sama omicron. Yang dipikirkan itu supaya jangan sampai anak2 serentak sakit bersamaan. Jadi ortu harus mikirin anak dan bukan mikirin ego kalian sendiri.,gk ada yg takut sama omicron yang dipikirkan itu supaya jangan sampai anak serentak sakit bersamaan jadi ortu harus mikirin anak dan bukan mikirin ego kalian sendiri,gk yg takut omicron pikir anak serentak sakit ortu mikirin anak mikirin ego,enggak yang takut omicron pikir anak serentak sakit orang tua memikirkan anak memikirkan emosi,enggak yang takut omicron pikir anak serentak sakit orang tua memikirkan anak memikirkan emosi,tidak yang takut omicron pikir anak serentak sakit orang tua pikir anak pikir emosi,1
"Lah katanya positif omicron, ya langsung isolasi lah bun, masa mau berkeliaran, kalo yg kabur kan dibelain sma hakim gara sopan. Kalo netizen mah banyak kok yg gak suka, yg belain fansnya kali",lah katanya positif omicron ya langsung isolasi lah bun masa mau berkeliaran kalo yg kabur kan dibelain sma hakim gara sopan kalo netizen mah banyak kok yg gak suka yg belain fansnya kali,positif omicron isolasi bun liar kalo yg kabur bain sma hakim gara sopan kalo netizen mah yg gak suka yg bain fansnya,positif omicron isolasi bun liar kalau yang kabur bain sama hakim gara sopan kalau netizen mah yang enggak suka yang bain fansnya,positif omicron isolasi bun liar kalau yang kabur bain sama hakim gara sopan kalau netizen mah yang enggak suka yang bain fansnya,positif omicron isolasi bun liar kalau yang kabur bain sama hakim gara sopan kalau netizen mah yang tidak suka yang bain fansnya,0
Omicron Kuwi....kudu karantina bulan...harus tes PCR Tiap jam ..,omicron kuwi kudu karantina bulan harus tes pcr tiap jam,omicron kuwi kudu karantina tes pcr jam,omicron kuwi harus karantina tes pcr jam,omicron kuwi harus karantina tes pcr jam,omicron kuwi harus karantina tes pcr jam,0
Hasilnya bawa omicron kayak ashanti,hasilnya bawa omicron kayak ashanti,hasil bawa omicron kayak ashanti,hasil bawa omicron kayak ashanti,hasil bawa omicron kayak ashanti,hasil bawa omicron kayak ashanti,0
"udah tau autoimun masih aja liburan ke LN , padahal lagi booming omicron . udah tau anak nya bunting gede masih aja diajak ke LN . istirahat kek dirumah aja . udah tau ..... terusin gaes ya",udah tau autoimun masih aja liburan ke ln padahal lagi booming omicron udah tau anak nya bunting gede masih aja diajak ke ln istirahat kek dirumah aja udah tau terusin gaes ya,udah tau autoimun aja libur ln booming omicron udah tau anak bunting gede aja ajak ln istirahat kek rumah aja udah tau terusin gaes,sudah tahu autoimun saja libur ln booming omicron sudah tahu anak bunting gede saja ajak ln istirahat kayak rumah saja sudah tahu terusin gaes,sudah tahu autoimun saja libur ln booming omicron sudah tahu anak bunting gede saja ajak ln istirahat kayak rumah saja sudah tahu terusin gaes,sudah tahu autoimun saja libur ln booming omicron sudah tahu anak bunting gede saja ajak ln istirahat kayak rumah saja sudah tahu terusin gaes,0
"Kesana kemari membawa penyakit. Omicron kok dibawa bawa, payung yang dibawa kemana mana mah",kesana kemari membawa penyakit omicron kok dibawa bawa payung yang dibawa kemana mana mah,kesana kemari bawa sakit omicron bawa bawa payung bawa mah,kesana kemari bawa sakit omicron bawa bawa payung bawa mah,kesana kemari bawa sakit omicron bawa bawa payung bawa mah,kesana kemari bawa sakit omicron bawa bawa payung bawa mah,0
"pulang holiday dari Turki bawa omicron, demi apa coba? demi konten? demi membuat kagum banyak orang? kagak kagum blass kali...",pulang holiday dari turki bawa omicron demi apa coba demi konten demi membuat kagum banyak orang kagak kagum blass kali,pulang holiday turki bawa omicron coba konten kagum kagak kagum blass,pulang holiday turki bawa omicron coba konten kagum tidak kagum blass,pulang holiday turki bawa omicron coba konten kagum tidak kagum blass,pulang holiday turki bawa omicron coba konten kagum tidak kagum blass,0
Saya lebih takut dgn vaksinasi daripada varian baru. PTM sangat penting buat anak-anak generasi penerus. Kalau yg penakut ma varian baru suruh daring aja. Yg mau PTM jgn di larang !! Anak anak sehat tanpa vaksinasi. Jgn korbankan pendidikan anak anak. Omong kosong dgn omicron,saya lebih takut dgn vaksinasi daripada varian baru ptm sangat penting buat anak anak generasi penerus kalau yg penakut ma varian baru suruh daring aja yg mau ptm jgn di larang anak anak sehat tanpa vaksinasi jgn korbankan pendidikan anak anak omong kosong dgn omicron,takut dgn vaksinasi varian ptm anak anak generasi yg takut ma varian suruh daring aja yg ptm jgn larang anak anak sehat vaksinasi jgn korban didik anak anak omong kosong dgn omicron,takut dengan vaksinasi varian ptm anak anak generasi yang takut sama varian suruh daring saja yang ptm jangan larang anak anak sehat vaksinasi jangan korban didik anak anak omong kosong dengan omicron,takut dengan vaksinasi varian ptm anak anak generasi yang takut sama varian suruh daring saja yang ptm jangan larang anak anak sehat vaksinasi jangan korban didik anak anak omong kosong dengan omicron,takut dengan vaksinasi varian ptm anak anak generasi yang takut sama varian suruh daring saja yang ptm jangan larang anak anak sehat vaksinasi jangan korban didik anak anak omong kosong dengan omicron,0
Ini si bunda tahun kemarin bukannya pernah kritis ya kondisinya gara2 positif cv19? Terus skrg positif omicron juga? Meni diborong kabeh atuh bund.....?,ini si bunda tahun kemarin bukannya pernah kritis ya kondisinya gara positif cv terus skrg positif omicron juga meni diborong kabeh atuh bund,si bunda tahun kemarin kritis kondisi gara positif cv skrg positif omicron meni borong kabeh atuh bund,sih bunda tahun kemarin kritis kondisi gara positif cv sekarang positif omicron meni borong kabeh kalau begitu bunda,sih bunda tahun kemarin kritis kondisi gara positif cv sekarang positif omicron meni borong kabeh kalau begitu bunda,sih bunda tahun kemarin kritis kondisi gara positif cv sekarang positif omicron meni borong kabeh kalau begitu bunda,0
Iya juga Oleh2 termutakhir sekarang mah Omicron,iya juga oleh termutakhir sekarang mah omicron,iya mutakhir mah omicron,iya mutakhir mah omicron,iya mutakhir mah omicron,iya mutakhir mah omicron,0
betul anjir ghwa liat berita omicron udah seratusan lebih terus senin sekolah kek...,betul anjir ghwa liat berita omicron udah seratusan lebih terus senin sekolah kek,anjir ghwa liat berita omicron udah ratus senin sekolah kek,anjing ghwa lihat berita omicron sudah ratus senin sekolah kayak,anjing ghwa lihat berita omicron sudah ratus senin sekolah kayak,anjing ghwa lihat berita omicron sudah ratus senin sekolah kayak,1
"Inget bgt dl saat habis baca berita himbauan pemerintah utk menahan diri tdk keluar negeri krn varians omicron di bbrpa negara sdg tinggi, bbrpa hri kemudia bc berita lagi keluarga Asix berencana ke turki.. disitu sbnrnya yg sgt disayangkan kok tdk ikut himbauan",inget bgt dl saat habis baca berita himbauan pemerintah utk menahan diri tdk keluar negeri krn varians omicron di bbrpa negara sdg tinggi bbrpa hri kemudia bc berita lagi keluarga asix berencana ke turki disitu sbnrnya yg sgt disayangkan kok tdk ikut himbauan,inget bgt dl habis baca berita himbauan perintah utk tahan tdk negeri krn varians omicron bbrpa negara sdg tinggi bbrpa hri kemudia bc berita keluarga asix rencana turki situ sbnrnya yg sgt sayang tdk himbauan,ingat banget dulu habis baca berita himbauan perintah untuk tahan tidak negeri karena varians omicron beberapa negara sedang tinggi beberapa hari kemudia baca berita keluarga asix rencana turki situ sbnrnya yang sangat sayang tidak himbauan,ingat banget dulu habis baca berita himbauan perintah untuk tahan tidak negeri karena varians omicron beberapa negara sedang tinggi beberapa hari kemudia baca berita keluarga asix rencana turki situ sbnrnya yang sangat sayang tidak himbauan,ingat banget dulu habis baca berita himbauan perintah untuk tahan tidak negeri karena varians omicron beberapa negara sedang tinggi beberapa hari kemudia baca berita keluarga asix rencana turki situ sbnrnya yang sangat sayang tidak himbauan,1
"Here you go, third wave. Balikin tuh duit calon penonton, batalkan kontrak dengan stasiun TV... Eh ngomong-ngomong stasiun TV nya apa suka beritain bahayanya omicron??",here you go third wave balikin tuh duit calon penonton batalkan kontrak dengan stasiun tv eh ngomong ngomong stasiun tv nya apa suka beritain bahayanya omicron,here you go third wave balikin tuh duit calon tonton batal kontrak stasiun tv eh ngomong ngomong stasiun tv suka beritain bahaya omicron,here you go third wave balikin itu uang calon tonton batal kontrak stasiun tv eh mengomong mengomong stasiun tv suka beritain bahaya omicron,here you go third wave balikin itu uang calon tonton batal kontrak stasiun tv eh mengomong mengomong stasiun tv suka beritain bahaya omicron,here you go third wave balikin itu uang calon tonton batal kontrak stasiun tv eh omong omong stasiun tv suka beritain bahaya omicron,1
"Kerennnn yah Ashanty, eh ga cmn dia deng khusus ""orang yg berduit"" kalo liburan dari LN bawa oleh-oleh mahal, ga tanggung deh olehnya untuk satu negara lagi, wow standing applause pokoknya",kerennnn yah ashanty eh ga cmn dia deng khusus orang yg berduit kalo liburan dari ln bawa oleh oleh mahal ga tanggung deh olehnya untuk satu negara lagi wow standing applause pokoknya,kerennnn yah ashanty eh ga cmn deng yg duit kalo libur ln bawa mahal ga tanggung deh negara wow standing applause pokok,keren ya ashanty eh enggak cuman deng yang uang kalau libur ln bawa mahal enggak tanggung deh negara wow standing applause pokok,keren iya ashanty eh enggak cuman deng yang uang kalau libur ln bawa mahal enggak tanggung deh negara wow standing applause pokok,keren iya ashanty eh tidak cuma deng yang uang kalau libur ln bawa mahal tidak tanggung deh negara wow standing applause pokok,1
regulasi pemerintah krna naiknya kasus omicron,regulasi pemerintah krna naiknya kasus omicron,regulasi perintah krna omicron,regulasi perintah karena omicron,regulasi perintah karena omicron,regulasi perintah karena omicron,1
"iya bener, sekarang pcr emg oake metode itu buat deteksi omicron",iya bener sekarang pcr emg oake metode itu buat deteksi omicron,iya bener pcr emg oake metode deteksi omicron,iya benar pcr memang oake metode deteksi omicron,iya benar pcr memang oake metode deteksi omicron,iya benar pcr memang oake metode deteksi omicron,1
"Habit orang kaya, sebentar kita-kita lagi yang disalahin klo omicron tambah meluas",habit orang kaya sebentar kita kita lagi yang disalahin klo omicron tambah meluas,habit kaya sebentar disalahin klo omicron luas,habit kayak sebentar disalahin kalo omicron luas,habit kayak sebentar disalahin kalo omicron luas,habit kayak sebentar disalahin kalau omicron luas,1
"kasus omicron lg naik""nyaaa",kasus omicron lg naik nyaaa,omicron lg nyaaa,omicron lagi nya,omicron lagi nya,omicron lagi nya,1
gw dah yakin bgt omicron dah sampe bandung,gw dah yakin bgt omicron dah sampe bandung,gw dah bgt omicron dah sampe bandung,gue deh banget omicron deh sampai bandung,aku deh banget omicron deh sampai bandung,aku deh banget omicron deh sampai bandung,1
"Woylah Ashanty, gua dan keluarga kagak punya duit. Kalo gua atau keluarga gua kena omicron gimana nih nasib -_-",woylah ashanty gua dan keluarga kagak punya duit kalo gua atau keluarga gua kena omicron gimana nih nasib _,woylah ashanty gua keluarga kagak duit kalo gua keluarga gua omicron gimana nih nasib,woylah ashanty saya keluarga tidak uang kalau saya keluarga saya omicron bagaimana ini nasib,woylah ashanty aku keluarga tidak uang kalau aku keluarga aku omicron bagaimana ini nasib,woylah ashanty aku keluarga tidak uang kalau aku keluarga aku omicron bagaimana ini nasib,0
